"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"39","Compatible with almost all mobile devices! Stick MCF next to the function (flash/camera), then rotate it manually to change the color.","337","Gadgets","technology/gadgets","1255","US","the United States","1607808840","Sat, 12 Dec 2020 21:34:00 +0000","https://ksr-ugc.imgix.net/assets/031/726/892/e2a49f90174fa6d35a5054561ccddad7_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1612630314&auto=format&frame=1&q=92&s=f99641b09c58b6bc9893ec2265e47695","1174171150","Monila World","https://www.kickstarter.com/profile/monila","USD","$","true","USD","1632321276","Compatible with almost all mobile devices! Stick MCF next to the function (flash/camera), then rotate it manually to change the color.","false","1","3500","253701499","true","1629297276","Wed, 18 Aug 2021 14:34:36 +0000","https://www.kickstarter.com/projects/monila/monila-color-filter-for-mobile-devices-flashlight-and-cameras?ref=discovery_newest","2361209","Bedminster, NJ","MONILA Color Filter for Mobile Devices' Flashlight & Cameras",,"1255","Wed, 18 Aug 2021 14:34:36 +0000","monila-color-filter-for-mobile-devices-flashlight-and-cameras","false","false","live","1629297277","1","MONILA Color Filter for Mobile Devices' Flashlight & Cameras","https://www.kickstarter.com/projects/monila/monila-color-filter-for-mobile-devices-flashlight-and-cameras?ref=discovery_newest","1","1255.0","domestic"
"3455","Our adapter wirelessly connects your smartphone to Android Auto, even if your car doesn't have built-in Wi-Fi.","337","Gadgets","technology/gadgets","321969","US","the United States","1601416543","Tue, 29 Sep 2020 21:55:43 +0000","https://ksr-ugc.imgix.net/assets/033/847/080/c5fa491d216f9e68e810a81e5e8c538d_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1623354704&auto=format&frame=1&q=92&s=b2387c3d8e46f0e498fce534cc963702","1223375557","Carsifi","https://www.kickstarter.com/profile/carsifi","USD","$","true","USD","1633104640","Our adapter wirelessly connects your smartphone to Android Auto, even if your car doesn't have built-in Wi-Fi.","false","1","10000","2033301702","true","1629216640","Tue, 17 Aug 2021 16:10:40 +0000","https://www.kickstarter.com/projects/carsifi/carsifi-wireless-android-auto-adapter?ref=discovery_newest","2450374","Middletown, DE","Carsifi: Wireless Android Auto Adapter",,"321969","Tue, 17 Aug 2021 16:10:40 +0000","carsifi-wireless-android-auto-adapter","false","false","live","1629216642","1","Carsifi: Wireless Android Auto Adapter","https://www.kickstarter.com/projects/carsifi/carsifi-wireless-android-auto-adapter?ref=discovery_newest","1","321969.0","domestic"
"26","Ability to gain access to your car using your smartphone, share your keys electronically, detect and record smoking and other features.","337","Gadgets","technology/gadgets","2954","CA","Canada","1611809913","Thu, 28 Jan 2021 04:58:33 +0000","https://ksr-ugc.imgix.net/assets/032/162/024/6977b2022f1e9059ec0bf66c1aadf34b_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1611812425&auto=format&frame=1&q=92&s=2864197351bad16f10f0e21c90e7852e","1952797105","KēZ - Get your car on!","https://www.kickstarter.com/profile/getkez","CAD","$","true","USD","1631807883","Ability to gain access to your car using your smartphone, share your keys electronically, detect and record smoking and other features.","false","0.78291676","18300","222312910","true","1629215883","Tue, 17 Aug 2021 15:58:03 +0000","https://www.kickstarter.com/projects/getkez/the-kez-plug-n-play-adaptor-with-its-smartphone-application?ref=discovery_newest","4118","Toronto, Canada","The KēZ Plug-n-Play Adaptor with its Smartphone Application",,"3773.29","Tue, 17 Aug 2021 15:58:03 +0000","the-kez-plug-n-play-adaptor-with-its-smartphone-application","false","false","live","1629215885","0.79734325","The KēZ Plug-n-Play Adaptor with its Smartphone Application","https://www.kickstarter.com/projects/getkez/the-kez-plug-n-play-adaptor-with-its-smartphone-application?ref=discovery_newest","0.78291676","3008.6073117925","domestic"
"61","A Party Game Of Creative Inventing and Hilarious Pitching Of Silly Devices","34","Tabletop Games","games/tabletop games","2534","US","the United States","1597527098","Sat, 15 Aug 2020 21:31:38 +0000","https://ksr-ugc.imgix.net/assets/023/690/338/628cc4a627a32cad7d4b2017b16cca32_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1546535429&auto=format&frame=1&q=92&s=921f25987b4f0a2d1775b86eeec39af7","17735496","Enhance Product Development","https://www.kickstarter.com/profile/enhancepd","USD","$","true","USD","1631804491","A Party Game Of Creative Inventing and Hilarious Pitching Of Silly Devices","false","1","5000","96750218","true","1629212491","Tue, 17 Aug 2021 15:01:31 +0000","https://www.kickstarter.com/projects/enhancepd/inventor-gadgets?ref=discovery_newest","2452078","Minneapolis, MN","Inventor Gadgets",,"2534","Tue, 17 Aug 2021 15:01:31 +0000","inventor-gadgets","false","false","live","1629212493","1","Inventor Gadgets","https://www.kickstarter.com/projects/enhancepd/inventor-gadgets?ref=discovery_newest","1","2534.0","domestic"
"1920","Nextube is a retro display that revives the beautiful warm glow of the nixie tube and shows you key metrics of your modern life.","337","Gadgets","technology/gadgets","270310","HK","Hong Kong","1628151143","Thu, 05 Aug 2021 08:12:23 +0000","https://ksr-ugc.imgix.net/assets/023/385/698/8fcf448ef82e59f406070f83fbb009e8_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625714628&auto=format&frame=1&q=92&s=07970f23f4f227ec2082681dd67d56b3","1294236851","Rotrics","https://www.kickstarter.com/profile/rotrics","HKD","$","true","USD","1632232802","Nextube is a retro display that revives the beautiful warm glow of the nixie tube and shows you key metrics of your modern life.","false","0.12837951","77770","112702503","true","1629208802","Tue, 17 Aug 2021 14:00:02 +0000","https://www.kickstarter.com/projects/rotrics/nextube-a-retro-nixie-clock-inspired-modern-display?ref=discovery_newest","2471217","Philadelphia, PA","Nextube - A retro nixie clock inspired modern display",,"2105559","Tue, 17 Aug 2021 14:00:02 +0000","nextube-a-retro-nixie-clock-inspired-modern-display","false","true","live","1629208805","0.12848945","Nextube - A retro nixie clock inspired modern display","https://www.kickstarter.com/projects/rotrics/nextube-a-retro-nixie-clock-inspired-modern-display?ref=discovery_newest","0.12837951","270542.11785255","domestic"
"2","A sensor that constantly measures levels of carcinogenic toxins in the air","337","Gadgets","technology/gadgets","101","US","the United States","1624232131","Sun, 20 Jun 2021 23:35:31 +0000","https://ksr-ugc.imgix.net/assets/034/372/750/ec8c2d8e6f16fda3de8227fea80af027_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627705528&auto=format&frame=1&q=92&s=820df2248382e38a2343590566048e5a","518438425","Akshay Attaluri","https://www.kickstarter.com/profile/toxiwatch","USD","$","true","USD","1632790064","A sensor that constantly measures levels of carcinogenic toxins in the air","false","1","1500","755163312","true","1629161264","Tue, 17 Aug 2021 00:47:44 +0000","https://www.kickstarter.com/projects/toxiwatch/toxiwatch?ref=discovery_newest","2488042","San Jose, CA","Toxiwatch",,"101","Tue, 17 Aug 2021 00:47:44 +0000","toxiwatch","false","false","live","1629161266","1","Toxiwatch","https://www.kickstarter.com/projects/toxiwatch/toxiwatch?ref=discovery_newest","1","101.0","domestic"
"37","""Pocketbottle"" is an eco-friendly bottle with an overwhelmingly compact size- the 500ml bottle is only 3.5cm thick when folded up!","337","Gadgets","technology/gadgets","1152","JP","Japan","1617098093","Tue, 30 Mar 2021 09:54:53 +0000","https://ksr-ugc.imgix.net/assets/034/493/135/be3bbd58251fc9f32d0277b2556e0a73_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1628691659&auto=format&frame=1&q=92&s=d3a3832d9f8e7cad0dc53d20affdef79","839942430","KIX Co.,Ltd.","https://www.kickstarter.com/profile/pocketbottle","JPY","¥","false","USD","1631566145","""Pocketbottle"" is an eco-friendly bottle with an overwhelmingly compact size- the 500ml bottle is only 3.5cm thick when folded up!","false","0.00910181","1100000","316380011","true","1629146945","Mon, 16 Aug 2021 20:49:05 +0000","https://www.kickstarter.com/projects/pocketbottle/pocketbottle-a-500ml-pocketable-bottle-in-just-35-cm?ref=discovery_newest","1118370","Tokyo, Japan","Pocketbottle- A 500ml pocketable bottle in just 3.5 cm!",,"126638","Mon, 16 Aug 2021 20:49:05 +0000","pocketbottle-a-500ml-pocketable-bottle-in-just-35-cm","false","false","live","1629146947","0.00912534","Pocketbottle- A 500ml pocketable bottle in just 3.5 cm!","https://www.kickstarter.com/projects/pocketbottle/pocketbottle-a-500ml-pocketable-bottle-in-just-35-cm?ref=discovery_newest","0.00910181","1155.61480692","domestic"
"25","Simplified the entire charging process and provides unparalleled portability! FP-3 Capsule PowerBank compatible with all mobile devices","337","Gadgets","technology/gadgets","1826","HK","Hong Kong","1622108469","Thu, 27 May 2021 09:41:09 +0000","https://ksr-ugc.imgix.net/assets/034/331/457/535a591c8815963d9eb5dc4ed9c15af8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627388256&auto=format&frame=1&q=92&s=a9049b1d1a5bc5526f5bf4e01c93e534","554396722","FP-3 Capsule Power Bank","https://www.kickstarter.com/profile/fp3","HKD","$","true","USD","1632581954","Simplified the entire charging process and provides unparalleled portability! FP-3 Capsule PowerBank compatible with all mobile devices","false","0.12837951","30000","1949290420","true","1629125954","Mon, 16 Aug 2021 14:59:14 +0000","https://www.kickstarter.com/projects/fp3/easy-charging-utmost-portability-fp-3-capsule-power-bank?ref=discovery_newest","2165352","Hong Kong, Hong Kong","Easy charging, utmost portability! “FP-3 Capsule Power Bank”",,"14225","Mon, 16 Aug 2021 14:59:14 +0000","easy-charging-utmost-portability-fp-3-capsule-power-bank","false","false","live","1629125956","0.12848599","Easy charging, utmost portability! “FP-3 Capsule Power Bank”","https://www.kickstarter.com/projects/fp3/easy-charging-utmost-portability-fp-3-capsule-power-bank?ref=discovery_newest","0.12837951","1827.71320775","domestic"
"100","A reusable & compact gadget designed to replace countless single-use plastic straws and lids.","28","Product Design","design/product design","3632","HK","Hong Kong","1628757050","Thu, 12 Aug 2021 08:30:50 +0000","https://ksr-ugc.imgix.net/assets/034/173/204/2ef10bc6a1f425ddf4eb1788eb66131f_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1626023572&auto=format&frame=1&q=92&s=774808d4b85e40ab7e4a3af9cfda6c21","634706302","Yunchak Leung","https://www.kickstarter.com/profile/yunchakleung","HKD","$","true","USD","1631687313","A reusable & compact gadget designed to replace countless single-use plastic straws and lids.","false","0.12837951","10000","932550749","true","1629095313","Mon, 16 Aug 2021 06:28:33 +0000","https://www.kickstarter.com/projects/yunchakleung/strawnlid-the-last-straw-and-lid-you-need?ref=discovery_newest","2165353","Kowloon, Hong Kong","StrawnLid: The Last Straw and Lid You Need",,"28298","Mon, 16 Aug 2021 06:28:33 +0000","strawnlid-the-last-straw-and-lid-you-need","false","false","live","1629095314","0.12848599","StrawnLid: The Last Straw and Lid You Need","https://www.kickstarter.com/projects/yunchakleung/strawnlid-the-last-straw-and-lid-you-need?ref=discovery_newest","0.12837951","3635.89654502","domestic"
"9","✔️weather & squirrel resistant ✔️ hang anywhere ✔️ record HD/SD video✔️ 8 aa batteries✔️designed for birds","337","Gadgets","technology/gadgets","1401","GB","the United Kingdom","1624023264","Fri, 18 Jun 2021 13:34:24 +0000","https://ksr-ugc.imgix.net/assets/034/146/007/008d5d9e0d1c7b65c1d24bdf8bf0347a_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625760805&auto=format&frame=1&q=92&s=748da752bb65ec707814566e362b04bb","361257539","myperchcam","https://www.kickstarter.com/profile/361257539","GBP","£","false","USD","1633873508","✔️weather & squirrel resistant ✔️ hang anywhere ✔️ record HD/SD video✔️ 8 aa batteries✔️designed for birds","false","1.36483183","70000","1726192420","true","1628689508","Wed, 11 Aug 2021 13:45:08 +0000","https://www.kickstarter.com/projects/361257539/myperchcam-a-hanging-feeder-camera-trap-for-birds?ref=discovery_newest","12602196","South Yorkshire, UK","myperchcam - A hanging feeder camera trap for birds",,"1027","Wed, 11 Aug 2021 13:45:08 +0000","myperchcam-a-hanging-feeder-camera-trap-for-birds","false","false","live","1628689511","1.3847251","myperchcam - A hanging feeder camera trap for birds","https://www.kickstarter.com/projects/361257539/myperchcam-a-hanging-feeder-camera-trap-for-birds?ref=discovery_newest","1.36483183","1422.1126777","domestic"
